"taxon.name","taxon.rank","identifications_count","created_at","observed_on","longitude","latitude","positional_accuracy","user.login","user.id","user.name","user.observations_count","user.identifications_count","user.activity_count","license_code","num_identification_agreements","uri","stateProvince","season"
"Carpobrotus edulis","species",3,"2021-10-25T21:19:18-03:00","2021-10-25",-54.9751906751,-34.9178779339,4,"mattzarrr",2595924,"Matías Zarucki",2177,1163,3340,"cc-by-nc",3,"https://www.inaturalist.org/observations/99406590","Maldonado","primavera"
"Carpobrotus edulis","species",1,"2021-10-25T20:48:29-03:00","2021-10-25",-54.9770666592,-34.9170878144,59,"lurtri",2633413,"Lucía Rodríguez-Tricot",526,492,1018,"cc-by-nc",1,"https://www.inaturalist.org/observations/99403560","Maldonado","primavera"
"Carpobrotus edulis","species",1,"2021-10-25T15:04:09-03:00","2021-10-25",-53.7779125572,-34.4031731319,5,"aleduarte",2477449,,286,778,1064,"cc-by-nc",1,"https://www.inaturalist.org/observations/99368772","Rocha","primavera"
"Carpobrotus edulis","species",1,"2021-10-23T11:51:23-03:00","2021-10-20",-54.8483634,-34.9153995,213,"gmmv80",1439323,"Guillermo Menéndez",1902,326,2228,"cc-by-nc",1,"https://www.inaturalist.org/observations/99090688","Maldonado","primavera"
"Carpobrotus edulis","species",1,"2021-10-19T02:46:17+00:00","2021-10-16",-55.8269723877,-34.7805291003,786,"ornitoloca",3322591,"Agustina Medina",1564,343,1907,"cc0",1,"https://www.inaturalist.org/observations/98669192","Canelones","primavera"
"Carpobrotus edulis","species",2,"2021-04-03T23:23:03+02:00","2021-03-30",-55.7244801521,-34.7701544557,54,"klaus16",1633424,"Klaus Riede",1907,1510,3417,"cc-by-nc",2,"https://www.inaturalist.org/observations/72823752","Canelones","verano"
"Carpobrotus edulis","species",1,"2021-03-20T22:28:01+01:00","2021-03-20",-55.7241911768,-34.7700431988,45,"klaus16",1633424,"Klaus Riede",1907,1510,3417,"cc-by-nc",1,"https://www.inaturalist.org/observations/71651011","Canelones","verano"
"Carpobrotus edulis","species",3,"2021-03-06T21:12:15-03:00","2021-03-06",-54.5811118889,-34.8074188056,,"rpereirag",2079928,"Ramiro Pereira Garbero",692,860,1552,"cc-by-nc",3,"https://www.inaturalist.org/observations/70701312","Maldonado","verano"
"Carpobrotus edulis","species",1,"2021-01-22T23:02:19+01:00","2021-01-20",-55.7054001507,-34.7629773208,31,"klaus16",1633424,"Klaus Riede",1907,1510,3417,"cc-by-nc",1,"https://www.inaturalist.org/observations/68463316","Canelones","verano"
"Carpobrotus edulis","species",2,"2021-01-19T12:05:59-03:00","2021-01-19",-55.6359024291,-34.7631860316,65,"benjaayres",3963768,,10,0,10,"cc-by-nc",2,"https://www.inaturalist.org/observations/68328641","Canelones","verano"
