observed_on,longitude,latitude,user.login,user.id,uri,stateProvince,season,reviewer,density,phenology,infrastructure
14/01/2023,-55804606,-34773064,daniel_hp,2495933,https://www.inaturalist.org/observations/146540142,Canelones,verano,Mati,alta,fruiting,0
14/01/2023,-5377808,-34402415,juancruzescardo,3183171,https://www.inaturalist.org/observations/146525194,Rocha,verano,Mati,media,no evidence of flowering/fruiting,1
10/07/2022,-5535678,-34805129,protozooma,6396951,https://www.inaturalist.org/observations/146422669,Maldonado,invierno,Mati,media,no evidence of flowering/fruiting,0
12/01/2023,-54166564,-34663569,mattzarrr,2595924,https://www.inaturalist.org/observations/146402870,Rocha,verano,Mati,media,no evidence of flowering/fruiting,1
12/01/2023,-5416731,-34663735,mattzarrr,2595924,https://www.inaturalist.org/observations/146402751,Rocha,verano,Mati,media,no evidence of flowering/fruiting,1
12/01/2023,-54169126,-34663745,mattzarrr,2595924,https://www.inaturalist.org/observations/146402560,Rocha,verano,Mati,alta,fruiting,1
12/01/2023,-54176851,-34658892,mattzarrr,2595924,https://www.inaturalist.org/observations/146399293,Rocha,verano,Mati,alta,fruiting,0
12/01/2023,-54179479,-3465706,mattzarrr,2595924,https://www.inaturalist.org/observations/146399189,Rocha,verano,Mati,alta,no evidence of flowering/fruiting,0
12/01/2023,-54183441,-34655212,mattzarrr,2595924,https://www.inaturalist.org/observations/146399053,Rocha,verano,Mati,baja,no evidence of flowering/fruiting,0
12/01/2023,-54184657,-34654724,mattzarrr,2595924,https://www.inaturalist.org/observations/146398942,Rocha,verano,Mati,media,fruiting,0
12/01/2023,-54189691,-34656137,mattzarrr,2595924,https://www.inaturalist.org/observations/146398732,Rocha,verano,Mati,media,fruiting,1
12/01/2023,-54197799,-3465551,mattzarrr,2595924,https://www.inaturalist.org/observations/146395210,Rocha,verano,Mati,media,fruiting,0
12/01/2023,-54197635,-34655652,mattzarrr,2595924,https://www.inaturalist.org/observations/146395163,Rocha,verano,Mati,alta,fruiting,1
11/01/2023,-54197932,-3465559,jumanbar,2492337,https://www.inaturalist.org/observations/146359237,Rocha,verano,Mati,media,fruiting,0
11/01/2023,-53783134,-34285009,tianal,2513920,https://www.inaturalist.org/observations/146344500,Rocha,verano,Mati,alta,no evidence of flowering/fruiting,1
11/01/2023,-54104384,-34567226,sebahorta,326025,https://www.inaturalist.org/observations/146342544,Rocha,verano,Mati,media,fruiting,0
